months_as_customer,数据集里面大多数都很大,
age,,
policy_number,非必要,
policy_bind_date,保单绑定日期,
policy_state,,
policy_csl,Combined single limits?,https://www.investopedia.com/terms/c/combined-single-limits.asp
policy_deductable,保单免赔额,
policy_annual_premium,保单年度保费,
umbrella_limit,https://www.geico.com/information/aboutinsurance/umbrella/,
insured_zip,,
insured_sex,,
insured_education_level,代码里面统计了各个元素,
insured_occupation,职业,
insured_hobbies,,
insured_relationship,,
capital-gains,资本收益,
capital-loss,,
incident_date,,
incident_type,,
collision_type,碰撞类型,
incident_severity,事件严重性,
authorities_contacted,Police&Fire&Ambulance&……,
incident_state,,
incident_city,,
incident_location,,
incident_hour_of_the_day,,
number_of_vehicles_involved,,
property_damage,,
bodily_injuries,,
witnesses,num,
police_report_available,,
total_claim_amount,,
injury_claim,,
property_claim,,
vehicle_claim,,
auto_make,,
auto_model,,
auto_year,,
fraud_reported,,
